# from moniteuse_collect_disk.sh called in cron.daily
# $DATE $RRER_B $SUT_B $SSC_B $RSC_B $SER_B $POH_C $SRC_B $CRC_B $POC_B $PORC_B $LCC_B $TC_B $REC_B $CPS_B $OU_B $UCEC_B $MZER_B $S_USED_WDCG
20140216 0 7300 1280 0 0 6626 0 0 1256 157 95813 33 0 0 0 101 0 695010756
20140217 0 7283 1281 0 0 6626 0 0 1257 157 95814 32 0 0 0 101 0 695010760
20140218 0 7275 1282 0 0 6626 0 0 1258 157 95815 33 0 0 0 101 0 690769076
20140219 0 7275 1283 0 0 6626 0 0 1259 157 95816 32 0 0 0 101 0 689962820
20140221 0 7283 1284 0 0 6626 0 0 1260 157 95817 14 0 0 0 101 0 689218028
20140222 0 7291 1285 0 0 6629 0 0 1261 157 95818 35 0 0 0 101 0 689928496
20140223 0 7283 1286 0 0 6642 0 0 1262 157 95819 32 0 0 0 101 0 688452680
20140224 0 7316 1287 0 0 6648 0 0 1263 157 95820 32 0 0 0 101 0 687948464
20140225 0 7300 1288 0 0 6653 0 0 1264 157 95821 33 0 0 0 101 0 688651544
20140226 0 7283 1289 0 0 6664 0 0 1265 157 95822 34 0 0 0 101 0 683673596
20140227 0 7266 1290 0 0 6667 0 0 1266 157 95823 33 0 0 0 101 0 684398460
20140228 0 7266 1291 0 0 6670 0 0 1267 157 95824 32 0 0 0 101 0 684524996
